order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
05A,Day 3: Reusable Terraform Modules,Modular Architecture Principles & Standard Structure,day-3-terraform-modules/modular-architecture-principles,cubes,/lessons/day-3-terraform-modules/modular-architecture-principles,"Learn the foundational principles of Terraform modules, understanding root vs child modules, standard file conventions, encapsulation, and contract design."
05B,Day 3: Reusable Terraform Modules,Building Production-Grade Infrastructure Modules,day-3-terraform-modules/building-production-grade-modules,cubes,/lessons/day-3-terraform-modules/building-production-grade-modules,"Step-by-step hands-on guide to building an enterprise-ready AWS VPC and networking module complete with public/private subnets, NAT gateways, and outputs."
05C,Day 3: Reusable Terraform Modules,"Module Sources, Public Registry & Version Pinning",day-3-terraform-modules/module-registries-and-versioning,cubes,/lessons/day-3-terraform-modules/module-registries-and-versioning,"Master referencing modules from the Terraform Registry, Git repositories with tag pinning, and managing private enterprise module registries."
05D,Day 3: Reusable Terraform Modules,Enterprise Module Composition & Architecture Patterns,day-3-terraform-modules/module-composition-patterns,cubes,/lessons/day-3-terraform-modules/module-composition-patterns,"Architect scalable infrastructure using Flat vs Nested module composition, service wrapper patterns, and avoiding common module anti-patterns."
06A,Day 3: Advanced HCL Logic & Dynamic Blocks,Advanced Control Flow: count vs for_each Meta-Arguments,day-3-advanced-hcl-and-meta-arguments/count-vs-for-each-meta-arguments,code-branch,/lessons/day-3-advanced-hcl-and-meta-arguments/count-vs-for-each-meta-arguments,"A comprehensive deep dive into iteration in Terraform, understanding the index-shift destruction bug of count, and when to use for_each on sets and maps."
06B,Day 3: Advanced HCL Logic & Dynamic Blocks,"Advanced Expressions, Built-in Functions & Dynamic Blocks",day-3-advanced-hcl-and-meta-arguments/expressions-functions-and-dynamic-blocks,code-branch,/lessons/day-3-advanced-hcl-and-meta-arguments/expressions-functions-and-dynamic-blocks,"Master HCL built-in functions, for comprehensions, defensive error handling with try/can, and iterating nested blocks using dynamic blocks."
06C,Day 3: Advanced HCL Logic & Dynamic Blocks,Resource Lifecycle Management & Meta-Arguments,day-3-advanced-hcl-and-meta-arguments/resource-lifecycle-management,code-branch,/lessons/day-3-advanced-hcl-and-meta-arguments/resource-lifecycle-management,"Control how Terraform creates, updates, and destroys resources using lifecycle meta-arguments: create_before_destroy, prevent_destroy, ignore_changes, and depends_on."
07A,Day 4: Ansible Fundamentals & Orchestration,Introducing Ansible in the Cloud Infrastructure Ecosystem,day-4-ansible-integration-and-orchestration/introducing-ansible-in-iac-ecosystem,network-wired,/lessons/day-4-ansible-integration-and-orchestration/introducing-ansible-in-iac-ecosystem,"Understand the roles of Terraform and Ansible, comparing Infrastructure Provisioning vs Configuration Management, and analyzing Immutable vs Mutable paradigms."
07B,Day 4: Ansible Fundamentals & Orchestration,Ansible Architecture & Core Fundamentals,day-4-ansible-integration-and-orchestration/ansible-core-concepts-and-architecture,network-wired,/lessons/day-4-ansible-integration-and-orchestration/ansible-core-concepts-and-architecture,"Master Ansible core components: Control Node vs Managed Nodes, Playbooks, Inventories, Tasks, Modules, Jinja2 Templates, Handlers, and Idempotency."
07C,Day 4: Ansible Fundamentals & Orchestration,Connecting Terraform and Ansible: Integration Patterns,day-4-ansible-integration-and-orchestration/connecting-terraform-and-ansible,network-wired,/lessons/day-4-ansible-integration-and-orchestration/connecting-terraform-and-ansible,"Explore 4 architectural patterns for integrating Terraform with Ansible: dynamic inventories, AWS EC2 plugin, local-exec provisioners, and decoupled CI/CD orchestration."
07D,Day 4: Ansible Fundamentals & Orchestration,Hands-On Lab: Provisioning with Terraform & Configuring with Ansible,day-4-ansible-integration-and-orchestration/hands-on-provisioning-with-terraform-and-configuring-with-ansible,network-wired,/lessons/day-4-ansible-integration-and-orchestration/hands-on-provisioning-with-terraform-and-configuring-with-ansible,"End-to-end hands-on lab: Provision an AWS EC2 web infrastructure stack using Terraform, then configure Nginx, system hardening, and a web app using Ansible."
08A,"Day 4: Enterprise CI/CD, Security & Capstone",Enterprise CI/CD Pipelines with GitHub Actions,day-4-enterprise-cicd-and-policy-as-code/enterprise-cicd-with-github-actions,shield-alt,/lessons/day-4-enterprise-cicd-and-policy-as-code/enterprise-cicd-with-github-actions,"Build an enterprise CI/CD pipeline using GitHub Actions, OIDC passwordless AWS authentication, automated PR speculative plan comments, and merge gates."
08B,"Day 4: Enterprise CI/CD, Security & Capstone","Security Scanning, Linting & Policy as Code",day-4-enterprise-cicd-and-policy-as-code/security-linting-and-policy-as-code,shield-alt,/lessons/day-4-enterprise-cicd-and-policy-as-code/security-linting-and-policy-as-code,"Shift security left using tflint, static security analysis with Trivy/tfsec, and guardrail enforcement using Open Policy Agent (OPA) and Conftest."
08C,"Day 4: Enterprise CI/CD, Security & Capstone","Course Capstone, Cost Optimization & Production Checklist",day-4-enterprise-cicd-and-policy-as-code/course-capstone-and-production-checklist,shield-alt,/lessons/day-4-enterprise-cicd-and-policy-as-code/course-capstone-and-production-checklist,"Review the full 4-day course capstone architecture, calculate cloud costs using Infracost, and evaluate your infrastructure against the enterprise production readiness scorecard."
